time,open,high,low,close,volume
1770681600000,1.354,1.356,1.35,1.355,103290.0
1770682500000,1.355,1.357,1.348,1.351,167038.1
1770683400000,1.349,1.354,1.347,1.349,82328.0
1770684300000,1.35,1.351,1.344,1.346,71272.2
1770685200000,1.347,1.361,1.346,1.359,135086.2
1770686100000,1.359,1.366,1.357,1.361,161508.7
1770687000000,1.361,1.366,1.356,1.366,79913.2
1770687900000,1.366,1.366,1.36,1.364,53091.1
1770688800000,1.364,1.366,1.359,1.36,140734.2
1770689700000,1.36,1.362,1.354,1.355,122585.7
1770690600000,1.355,1.357,1.352,1.352,46923.8
1770691500000,1.353,1.357,1.351,1.353,50996.8
1770692400000,1.353,1.354,1.341,1.344,89711.0
1770693300000,1.345,1.346,1.331,1.333,149294.0
1770694200000,1.333,1.334,1.321,1.329,203048.0
1770695100000,1.33,1.336,1.329,1.335,54154.4
1770696000000,1.335,1.343,1.332,1.342,85397.7
1770696900000,1.343,1.344,1.336,1.339,77641.1
1770697800000,1.339,1.341,1.335,1.339,57353.8
1770698700000,1.339,1.344,1.338,1.344,67537.5
1770699600000,1.344,1.344,1.339,1.342,48744.1
1770700500000,1.342,1.343,1.334,1.335,53863.9
1770701400000,1.334,1.337,1.327,1.328,121506.7
1770702300000,1.328,1.329,1.322,1.327,95064.5
1770703200000,1.326,1.331,1.324,1.325,90326.3
1770704100000,1.325,1.327,1.317,1.32,82490.9
1770705000000,1.32,1.323,1.312,1.314,123943.4
1770705900000,1.314,1.314,1.299,1.305,225912.0
1770706800000,1.305,1.319,1.305,1.314,201477.0
1770707700000,1.314,1.314,1.308,1.312,110178.8
1770708600000,1.313,1.315,1.31,1.311,41866.2
1770709500000,1.311,1.316,1.309,1.315,84217.4
1770710400000,1.315,1.317,1.312,1.314,103978.2
1770711300000,1.313,1.321,1.311,1.318,85558.7
1770712200000,1.318,1.32,1.312,1.317,70878.1
1770713100000,1.317,1.324,1.316,1.323,180106.7
1770714000000,1.322,1.33,1.321,1.326,129551.3
1770714900000,1.327,1.328,1.324,1.326,60297.8
1770715800000,1.325,1.326,1.321,1.324,47931.6
1770716700000,1.324,1.327,1.316,1.32,108190.7
1770717600000,1.32,1.322,1.317,1.32,116098.3
1770718500000,1.321,1.321,1.314,1.318,138638.6
1770719400000,1.317,1.317,1.312,1.312,47037.9
1770720300000,1.313,1.315,1.312,1.314,65948.9
1770721200000,1.313,1.317,1.312,1.314,102998.9
1770722100000,1.314,1.317,1.314,1.316,46339.2
1770723000000,1.315,1.319,1.306,1.312,102761.3
1770723900000,1.311,1.314,1.308,1.31,88880.2
1770724800000,1.31,1.316,1.305,1.306,166837.4
1770725700000,1.305,1.308,1.304,1.306,92962.9
1770726600000,1.306,1.308,1.301,1.302,141386.7
1770727500000,1.302,1.305,1.301,1.305,51042.8
1770728400000,1.304,1.31,1.303,1.309,161366.0
1770729300000,1.308,1.312,1.306,1.311,86841.2
1770730200000,1.31,1.317,1.308,1.315,152192.5
1770731100000,1.315,1.315,1.309,1.314,61720.0
1770732000000,1.313,1.316,1.311,1.315,98689.5
1770732900000,1.314,1.325,1.314,1.315,119958.5
1770733800000,1.314,1.322,1.3,1.31,266470.9
1770734700000,1.309,1.315,1.3,1.31,165056.0
1770735600000,1.309,1.321,1.304,1.31,211706.9
1770736500000,1.31,1.325,1.307,1.321,108139.7
1770737400000,1.322,1.329,1.32,1.322,148779.3
1770738300000,1.322,1.326,1.316,1.32,120896.8
1770739200000,1.321,1.328,1.31,1.325,202503.8
1770740100000,1.326,1.327,1.313,1.315,150328.4
1770741000000,1.314,1.321,1.311,1.316,144954.0
1770741900000,1.316,1.318,1.31,1.313,101888.0
1770742800000,1.313,1.314,1.308,1.309,103629.8
1770743700000,1.31,1.317,1.308,1.314,103970.0
1770744600000,1.313,1.323,1.312,1.318,180917.8
1770745500000,1.318,1.321,1.315,1.318,78226.2
