time,open,high,low,close,volume
1769464800000,234.82,235.54,233.73,234.3,6764.571
1769468400000,234.3,235.37,233.39,233.99,5780.952
1769472000000,233.98,234.25,233.21,233.86,5680.497
1769475600000,233.84,235.44,232.87,234.78,6585.466
1769479200000,234.78,235.89,233.74,234.86,7402.193
1769482800000,234.86,235.17,233.88,234.2,7133.054
1769486400000,234.19,235.66,232.93,233.7,8213.903
1769490000000,233.71,233.97,232.67,232.99,5203.165
1769493600000,232.98,233.2,230.53,231.01,11087.084
1769497200000,231.01,233.55,230.86,232.28,9234.617
1769500800000,232.29,233.28,231.73,232.16,6541.935
1769504400000,232.16,232.19,230.71,230.96,4972.527
1769508000000,230.96,231.88,230.5,230.96,5497.811
1769511600000,230.96,233.35,230.56,231.06,11028.756
1769515200000,231.05,232.58,230.94,231.63,7805.111
1769518800000,231.63,231.99,229.98,230.22,6655.991
1769522400000,230.23,232.77,229.26,229.68,15028.966
1769526000000,229.73,231.75,228.0,230.51,22539.773
1769529600000,230.51,235.96,230.3,234.71,30731.075
1769533200000,234.71,234.81,228.61,229.47,23941.55
1769536800000,229.47,234.17,228.9,233.24,13796.633
1769540400000,233.22,233.84,231.98,233.31,7756.441
1769544000000,233.31,237.61,233.12,236.98,27495.762
1769547600000,236.97,237.15,234.45,234.66,16047.549
1769551200000,234.67,236.92,234.67,236.4,7050.226
1769554800000,236.41,239.39,235.64,237.98,16854.977
1769558400000,237.99,238.41,235.85,238.0,15060.579
1769562000000,238.01,238.28,235.96,237.3,6852.132
1769565600000,237.31,238.22,236.5,237.12,8105.724
1769569200000,237.12,237.77,236.03,237.27,7140.145
1769572800000,237.27,237.27,234.46,235.69,13093.225
1769576400000,235.69,237.27,235.69,237.12,8102.716
1769580000000,237.12,238.41,236.32,237.32,11149.033
1769583600000,237.33,237.81,236.04,236.97,5570.304
1769587200000,236.96,237.73,235.95,236.15,7289.622
1769590800000,236.16,239.48,235.46,239.18,11276.827
1769594400000,239.18,239.63,237.84,237.86,7075.037
1769598000000,237.86,241.23,237.75,241.11,12633.084
1769601600000,241.1,242.5,238.69,239.36,26926.772
1769605200000,239.35,241.95,239.28,240.44,13003.342
1769608800000,240.44,240.81,237.75,238.56,15810.742
1769612400000,238.51,240.0,236.3,238.25,23708.962
1769616000000,238.26,239.64,237.03,237.3,15625.956
1769619600000,237.31,240.03,235.71,238.62,17496.76
1769623200000,238.61,238.65,235.63,236.54,14898.593
1769626800000,236.54,238.09,235.36,236.99,17277.94
1769630400000,236.99,240.64,236.79,237.79,27809.743
1769634000000,237.79,239.27,235.93,237.98,15796.564
1769637600000,237.99,240.2,236.66,240.11,9016.086
1769641200000,240.11,240.82,237.46,238.16,16307.374
1769644800000,238.15,238.62,236.02,237.55,15387.184
1769648400000,237.55,237.99,233.53,233.86,18076.395
1769652000000,233.85,234.61,228.93,230.17,30866.306
1769655600000,230.18,231.76,229.26,229.49,17230.422
1769659200000,229.49,229.59,225.43,228.64,32404.083
1769662800000,228.63,229.43,228.43,228.93,7728.873
1769666400000,228.93,230.22,228.68,229.85,8093.097
1769670000000,229.84,230.8,228.86,229.08,11002.511
1769673600000,229.08,229.76,227.8,228.48,11894.45
1769677200000,228.47,228.75,227.7,228.05,9102.224
1769680800000,228.04,228.73,227.81,228.3,4607.76
1769684400000,228.3,228.42,225.69,226.13,14529.049
1769688000000,226.14,226.33,224.57,225.96,13048.109
1769691600000,225.97,227.77,225.8,227.77,10273.922
1769695200000,227.77,228.22,221.8,222.3,24887.512
1769698800000,222.32,222.44,214.16,219.29,97821.601
1769702400000,219.28,221.76,217.16,221.64,41657.484
1769706000000,221.63,224.5,219.49,219.65,35330.996
1769709600000,219.65,220.76,215.65,215.91,33581.736
1769713200000,215.9,219.39,215.04,218.41,23487.427
1769716800000,218.41,220.67,217.9,220.37,11959.768
1769720400000,220.37,221.54,219.91,220.95,11014.637
1769724000000,220.95,222.13,219.36,220.15,9866.021
1769727600000,220.14,221.2,219.04,220.91,11213.707
1769731200000,220.91,222.17,220.0,221.52,14670.798
1769734800000,221.53,222.65,209.38,217.94,54195.097
1769738400000,217.95,217.95,211.82,213.48,32248.83
1769742000000,213.47,214.64,213.36,214.14,12829.679
1769745600000,214.14,217.58,213.98,216.71,11222.331
1769749200000,216.71,218.24,216.02,217.02,9453.769
1769752800000,217.03,217.34,212.0,213.29,32348.691
1769756400000,213.31,217.5,213.31,215.66,35155.756
1769760000000,215.67,216.35,213.75,214.72,15877.249
1769763600000,214.72,215.44,211.31,212.29,18709.432
1769767200000,212.28,213.7,210.83,213.59,16008.338
1769770800000,213.6,217.46,212.86,216.28,11906.97
1769774400000,216.27,216.64,213.7,214.29,11606.289
1769778000000,214.3,215.24,212.0,213.58,15547.615
1769781600000,213.58,217.02,213.49,214.81,41347.258
1769785200000,214.81,216.31,211.23,213.9,24244.733
1769788800000,213.89,215.9,212.04,213.54,16356.422
1769792400000,213.54,214.59,211.13,212.52,19042.301
1769796000000,212.52,216.5,207.1,215.61,48988.966
1769799600000,215.61,218.34,215.35,216.89,27791.406
1769803200000,216.9,216.91,212.39,213.18,33219.698
1769806800000,213.18,215.79,212.82,214.69,15899.78
