time,open,high,low,close,volume
1775865600000,0.2382,0.2391,0.2378,0.2391,1482393.0
1775866500000,0.2391,0.2395,0.238,0.2384,756637.0
1775867400000,0.2384,0.2384,0.237,0.2373,760489.0
1775868300000,0.2373,0.2373,0.2363,0.2369,889306.0
1775869200000,0.2368,0.2371,0.2349,0.2352,2274102.0
1775870100000,0.2351,0.2356,0.2342,0.2351,2122441.0
1775871000000,0.2351,0.2364,0.2346,0.2361,1544867.0
1775871900000,0.2361,0.2376,0.2361,0.2366,1019373.0
1775872800000,0.2367,0.2377,0.2357,0.2374,1276064.0
1775873700000,0.2374,0.238,0.2371,0.2378,806825.0
1775874600000,0.2379,0.2389,0.2378,0.2383,1232853.0
1775875500000,0.2383,0.2383,0.2368,0.2372,825688.0
1775876400000,0.2373,0.2385,0.2372,0.2384,507809.0
1775877300000,0.2384,0.2394,0.2381,0.2386,655369.0
1775878200000,0.2387,0.2398,0.2385,0.2392,960006.0
1775879100000,0.2393,0.2393,0.2357,0.2365,2929634.0
1775880000000,0.2364,0.2376,0.2361,0.2369,1846030.0
1775880900000,0.237,0.2371,0.2345,0.2354,2698396.0
1775881800000,0.2354,0.237,0.2353,0.2361,1616058.0
1775882700000,0.236,0.2371,0.2358,0.2371,756971.0
1775883600000,0.2371,0.2377,0.2363,0.2365,2509120.0
1775884500000,0.2365,0.2368,0.2359,0.2365,1151499.0
1775885400000,0.2365,0.2372,0.2362,0.2362,600259.0
1775886300000,0.2361,0.2363,0.2353,0.2356,795296.0
1775887200000,0.2355,0.2355,0.2343,0.2345,2473807.0
1775888100000,0.2345,0.2354,0.2344,0.2352,474259.0
1775889000000,0.2352,0.2357,0.2347,0.2354,1749772.0
1775889900000,0.2353,0.2356,0.2349,0.2349,1031842.0
1775890800000,0.235,0.2353,0.2346,0.2352,685362.0
1775891700000,0.2352,0.236,0.2352,0.2357,811031.0
1775892600000,0.2358,0.2359,0.2353,0.2353,876217.0
1775893500000,0.2353,0.2359,0.2352,0.2358,681920.0
1775894400000,0.2358,0.2359,0.2353,0.2354,677082.0
1775895300000,0.2355,0.2366,0.2353,0.2364,1027111.0
1775896200000,0.2364,0.2367,0.2353,0.2361,893184.0
1775897100000,0.2361,0.2365,0.2353,0.2361,863315.0
1775898000000,0.2361,0.2373,0.236,0.2366,3119744.0
1775898900000,0.2365,0.2383,0.2365,0.2377,2454446.0
1775899800000,0.2376,0.2376,0.236,0.2368,1100991.0
