time,open,high,low,close,volume
1773273600000,0.1604,0.1615,0.1591,0.1604,7904599.0
1773277200000,0.1604,0.1604,0.1585,0.1593,5907003.0
1773280800000,0.1593,0.16,0.1585,0.1591,6853919.0
1773284400000,0.1591,0.1599,0.1582,0.1588,3745489.0
1773288000000,0.1589,0.1598,0.1581,0.1583,3250539.0
1773291600000,0.1583,0.1586,0.1562,0.1581,5476698.0
1773295200000,0.1581,0.1584,0.157,0.1574,3931588.0
1773298800000,0.1574,0.158,0.1567,0.1577,5675702.0
1773302400000,0.1576,0.1591,0.1569,0.1583,7078141.0
1773306000000,0.1583,0.1602,0.1575,0.1587,4583982.0
1773309600000,0.1588,0.161,0.1587,0.1603,6009348.0
1773313200000,0.1602,0.1603,0.159,0.1599,4076534.0
1773316800000,0.1598,0.1607,0.1592,0.1598,3461924.0
1773320400000,0.1598,0.1628,0.1594,0.1606,9130214.0
1773324000000,0.1607,0.1615,0.1577,0.1587,7959321.0
1773327600000,0.1587,0.1609,0.1586,0.1602,5556988.0
1773331200000,0.1602,0.1621,0.1593,0.1613,5384148.0
1773334800000,0.1613,0.1622,0.1605,0.1618,4910270.0
1773338400000,0.1619,0.1629,0.1608,0.1619,8809118.0
1773342000000,0.162,0.1648,0.1612,0.1633,12375035.0
1773345600000,0.1633,0.1679,0.1629,0.1672,18411711.0
1773349200000,0.1672,0.1725,0.1662,0.1698,13988238.0
1773352800000,0.1698,0.1723,0.1689,0.1714,10452628.0
1773356400000,0.1715,0.1776,0.1712,0.177,23472629.0
1773360000000,0.177,0.1874,0.1754,0.1845,50547737.0
1773363600000,0.1845,0.1894,0.184,0.1865,40831382.0
1773367200000,0.1866,0.1876,0.1833,0.1847,28326775.0
1773370800000,0.1847,0.1899,0.1839,0.1886,26972423.0
1773374400000,0.1886,0.1912,0.1871,0.1882,30396483.0
1773378000000,0.1881,0.1944,0.1874,0.1907,37107920.0
1773381600000,0.1907,0.1922,0.1815,0.1821,46928247.0
1773385200000,0.182,0.1834,0.1775,0.1791,30944900.0
1773388800000,0.179,0.1825,0.1772,0.1802,20250434.0
1773392400000,0.1801,0.1834,0.1793,0.1821,13781748.0
1773396000000,0.1821,0.1845,0.182,0.1832,13256877.0
1773399600000,0.1832,0.1851,0.1801,0.1806,13690968.0
1773403200000,0.1807,0.1834,0.1797,0.1829,14330071.0
1773406800000,0.183,0.1845,0.1821,0.183,16647416.0
1773410400000,0.183,0.1837,0.1801,0.1811,15310152.0
1773414000000,0.1811,0.1817,0.1778,0.1791,17840475.0
1773417600000,0.1792,0.1794,0.1761,0.1771,18415739.0
1773421200000,0.1771,0.1771,0.1731,0.174,15975430.0
1773424800000,0.1739,0.1769,0.1738,0.1763,12039600.0
1773428400000,0.1763,0.1776,0.176,0.1771,5490694.0
1773432000000,0.1772,0.1777,0.1764,0.1771,5078348.0
1773435600000,0.1771,0.1794,0.1761,0.1774,8012964.0
1773439200000,0.1774,0.1778,0.1757,0.1771,6554336.0
1773442800000,0.177,0.1787,0.1766,0.178,5920846.0
1773446400000,0.178,0.1792,0.1764,0.1769,9553832.0
1773450000000,0.1769,0.1794,0.1765,0.1779,5985198.0
1773453600000,0.1779,0.1809,0.1777,0.1794,7719409.0
1773457200000,0.1795,0.183,0.1793,0.1821,6810091.0
1773460800000,0.1822,0.1845,0.1807,0.1818,9915871.0
1773464400000,0.1818,0.1826,0.1797,0.1815,6361732.0
1773468000000,0.1815,0.1818,0.1785,0.1801,9969805.0
1773471600000,0.1801,0.1807,0.1777,0.1781,5636837.0
1773475200000,0.1782,0.1789,0.1774,0.1787,4588915.0
1773478800000,0.1787,0.1794,0.1768,0.1771,4471343.0
1773482400000,0.1771,0.1773,0.1756,0.1762,4983008.0
1773486000000,0.1762,0.177,0.1744,0.1746,5493939.0
1773489600000,0.1746,0.1763,0.1745,0.1758,4701114.0
1773493200000,0.1759,0.1765,0.1751,0.1762,3395834.0
1773496800000,0.1761,0.177,0.1754,0.1755,5242627.0
1773500400000,0.1754,0.1759,0.1751,0.1755,2642778.0
1773504000000,0.1755,0.1766,0.1753,0.1761,3282054.0
1773507600000,0.1761,0.1763,0.174,0.1741,4896354.0
1773511200000,0.174,0.1741,0.1731,0.1734,4698955.0
1773514800000,0.1733,0.1747,0.1726,0.1738,4232276.0
1773518400000,0.1738,0.1748,0.1731,0.1744,3456833.0
1773522000000,0.1744,0.1756,0.174,0.1755,2599037.0
1773525600000,0.1756,0.1765,0.1748,0.1764,4036036.0
1773529200000,0.1763,0.1794,0.1763,0.1786,11025090.0
1773532800000,0.1786,0.1802,0.1777,0.1801,8601078.0
1773536400000,0.1801,0.1844,0.1801,0.1841,14374235.0
1773540000000,0.184,0.1919,0.184,0.1907,22051966.0
1773543600000,0.1907,0.1943,0.1876,0.1906,24329035.0
1773547200000,0.1906,0.1933,0.189,0.1912,13353335.0
1773550800000,0.1912,0.1912,0.1861,0.1869,10928257.0
1773554400000,0.1869,0.188,0.1848,0.1863,8004068.0
1773558000000,0.1864,0.1878,0.1851,0.1854,6818973.0
1773561600000,0.1855,0.1883,0.1844,0.1882,8773898.0
1773565200000,0.1881,0.192,0.1875,0.1917,14735778.0
1773568800000,0.1918,0.1919,0.1895,0.1908,11377369.0
1773572400000,0.1908,0.1913,0.1892,0.1907,7374217.0
1773576000000,0.1906,0.2004,0.1904,0.1958,46657266.0
1773579600000,0.1958,0.1989,0.192,0.1952,26045532.0
1773583200000,0.1952,0.1973,0.1922,0.1942,13898334.0
1773586800000,0.1942,0.1982,0.1916,0.1977,18441396.0
1773590400000,0.1976,0.2047,0.1969,0.1986,47873997.0
1773594000000,0.1986,0.2007,0.1963,0.1978,16769909.0
1773597600000,0.1977,0.2006,0.1965,0.1975,14511483.0
1773601200000,0.1976,0.2008,0.1967,0.2003,16413194.0
1773604800000,0.2003,0.2024,0.199,0.2012,13046729.0
1773608400000,0.2012,0.2026,0.1991,0.1999,9103581.0
1773612000000,0.1999,0.2006,0.1935,0.199,20822457.0
1773615600000,0.199,0.1998,0.1947,0.1965,12683548.0
1773619200000,0.1966,0.1985,0.1943,0.1954,11833562.0
1773622800000,0.1954,0.1973,0.1936,0.196,10540685.0
1773626400000,0.1959,0.1972,0.1941,0.1965,9274617.0
1773630000000,0.1964,0.2004,0.1957,0.1972,11296202.0
1773633600000,0.1972,0.2,0.1972,0.1994,8508684.0
1773637200000,0.1994,0.2042,0.199,0.2033,21416080.0
1773640800000,0.2032,0.2066,0.2015,0.2051,16109753.0
1773644400000,0.2051,0.212,0.2051,0.2073,32405618.0
1773648000000,0.2073,0.2137,0.2071,0.209,23125925.0
