time,open,high,low,close,volume
1769464800000,234.82,235.54,234.21,235.19,3550.261
1769465700000,235.19,235.37,233.9,234.18,1089.426
1769466600000,234.17,235.08,233.73,234.21,1425.863
1769467500000,234.21,234.89,234.14,234.3,699.021
1769468400000,234.3,234.3,233.39,234.18,1722.19
1769469300000,234.17,234.34,233.84,234.18,1035.492
1769470200000,234.18,235.37,234.17,234.51,2045.615
1769471100000,234.51,234.63,233.94,233.99,977.655
1769472000000,233.98,234.25,233.45,233.64,2018.901
1769472900000,233.65,234.17,233.31,233.76,2334.09
1769473800000,233.77,233.8,233.21,233.65,790.493
1769474700000,233.65,233.92,233.45,233.86,537.013
1769475600000,233.84,233.84,232.93,233.05,1136.818
1769476500000,233.06,234.11,232.87,233.93,1659.157
1769477400000,233.93,235.15,233.74,234.72,2795.808
1769478300000,234.73,235.44,234.42,234.78,993.683
1769479200000,234.78,235.89,234.08,234.51,2545.101
1769480100000,234.5,234.5,233.74,233.79,1030.897
1769481000000,233.79,235.42,233.79,234.86,2201.077
1769481900000,234.86,235.31,234.61,234.86,1625.118
1769482800000,234.86,235.17,234.14,234.34,2618.664
1769483700000,234.33,234.65,234.18,234.43,1112.093
1769484600000,234.43,234.93,234.12,234.82,1425.481
1769485500000,234.81,234.9,233.88,234.2,1976.816
1769486400000,234.19,235.66,233.84,235.07,2531.765
1769487300000,235.06,235.2,233.86,234.13,1396.634
1769488200000,234.13,234.17,233.43,233.59,1209.165
1769489100000,233.6,233.9,232.93,233.7,3076.339
1769490000000,233.71,233.97,233.21,233.48,1240.881
1769490900000,233.47,233.47,232.69,233.11,1648.464
1769491800000,233.12,233.56,233.05,233.05,1371.112
1769492700000,233.06,233.34,232.67,232.99,942.708
1769493600000,232.98,233.2,232.31,232.53,1566.291
1769494500000,232.53,232.74,231.91,232.1,1966.197
1769495400000,232.1,232.1,230.53,230.96,5715.888
1769496300000,230.95,231.42,230.76,231.01,1838.708
1769497200000,231.01,231.86,230.86,231.77,3275.383
1769498100000,231.77,232.7,231.53,232.64,2515.299
1769499000000,232.65,233.55,232.47,233.15,1276.191
1769499900000,233.14,233.4,231.77,232.28,2167.744
1769500800000,232.29,233.28,232.23,232.42,2154.943
